Soil,Blue439,Green507,Red639,Sand (% wt.),Silt (% wt.),Clay (% wt.),Higroscopic Water (%),Fe (%),Fe dithionite (ppm),CaCO3 (%),EC (ds/m),Organic Carbon (%),Organic Matter (%),S.S.A (m2/g),Q/CM,Quartz,ClayMinerals,Smectite,Montmorillonite,Illite,Kaolinite,Calcite,Dolomite,other,Si02,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,F1,F2,F3,F4,F5,F6,AAS,SQCMI,SCI
A1,0.062922,0.076222,0.158556,26.1449,40.3139,33.5412,7,2.193,21929.7,0.5,0.712,2.86,6.65,236.8,0.227272727,35,77,30,30,2,15,1,0,17,58.7,12.4,6.93,1.36,2.02,0.42,1.31,1.3,14.6,14.6,22.1,15.1,32.7,12.5,8.2,8.8,0.87,1.01428689,1.017000916
A2,0.05957,0.07297,0.135275,24.9016,30.0612,45.0372,9.2,1.882,18823.9,5.86,0.462,2.64,6.65,285,0.163043478,30,92,35,35,2,20,6,1,6,53.4,13.3,6.95,1.2,4.92,0.33,1.27,1.22,16.8,16.8,18.2,13.4,36.1,16.9,9.5,5.3,0.82,1.002836465,1.017293998
A3,0.068655,0.082081,0.14231,35.4214,26.9078,37.6709,7.1,1.81,18096.6,2.06,0.986,6.43,13.23,230.9,0.188172043,35,93,35,35,3,20,2,0,5,51.5,12.2,6.27,1.35,3.37,0.42,1.41,1.19,21.5,21.5,24.3,17.5,35.4,11.8,6.6,4.4,0.95,1.006415489,1.01001328
A4,0.071368,0.088573,0.176288,35.1233,18.7831,46.0936,11.6,1.479,14793.6,8.46,0.857,2.7,5.65,338.2,0.184210526,35,95,40,40,0,15,9,0,1,51.4,12.2,6.49,1.24,6.7,0.27,0.99,1.15,19.1,19.1,13.2,13.5,36.4,17.6,11.5,6.4,0.75,0.999762058,1.016575147
A5,0.116488,0.147114,0.226134,30.4319,15.3606,54.2075,10.2,1.597,15971,8.48,0.583,0.82,2.52,369,0.184782609,34,92,40,40,2,10,9,0,4,54,12.2,6.7,1.71,5.84,0.27,0.99,1.24,16.1,16.1,13.7,14.8,38.9,16.2,9.2,6.3,0.78,0.996659987,1.01667514
B1,0.132381,0.162178,0.260022,22.8077,30.8769,46.3154,4.7,0.525,5253.7,41.99,0.625,2.34,4.91,196.8,0.3375,27,40,25,10,0,5,42,1,0,33.7,7.26,3.89,1.29,24.5,0.15,0.74,0.7,27.8,27.8,26.2,12.5,29.8,14,10,7.4,0.89,1.008996684,1.000501684
B10,0.088441,0.107116,0.189499,23.895,16.6168,59.4882,9.7,0.989,9890.4,20.47,0.48,0.73,2.07,323.7,0.141176471,24,85,40,40,2,3,20,0,1,47.6,10.8,5.92,1.59,12.9,0.29,1.02,1.03,18.8,18.8,11.9,13.6,39.4,18.5,10.8,5.8,0.75,0.999807042,1.006652555
B11,0.12519,0.164992,0.283713,57.8504,21.0748,21.0748,5.1,0.577,5773.3,28.41,0.72,2.29,4.16,127.8,1.933333333,58,15,5,5,0,5,28,0,4,45.4,7.38,3.72,1.56,17.8,0.53,1.21,0.82,21.8,21.8,9.6,9.2,25.2,13.9,16.3,24.5,0.55,1.011868481,1.003116831
B2,0.1241,0.148269,0.223032,32.0823,18.6587,49.259,6.2,0.616,6155.1,40.14,0.394,1.34,3.71,262.9,0.133333333,20,75,35,35,0,5,40,0,0,35.8,8.51,4.3,1.5,22.1,0.21,0.71,0.68,25.9,25.9,21.3,13.2,33.2,15.3,10.5,6.5,0.85,0.998751561,1.000803852
B3,0.0712,0.0893,0.155,42.6212,24.4512,32.9276,8,1.079,10792.4,19.73,1.241,3.98,8.71,256.2,0.253333333,38,75,35,35,0,5,20,0,2,42.5,10.2,5.51,1.48,13.5,0.26,1.03,0.94,24.4,24.4,23.6,13.4,33.7,13.9,8.7,6.4,0.88,1.007365848,1.002309156
B4,0.0864,0.123,0.256,67.4423,7.8264,24.7313,4.2,0.778,7778.5,23.93,0.605,2.13,5.06,185,0.333333333,40,60,25,25,0,10,24,0,1,43.1,9.16,4.84,1.79,16.2,0.38,1.14,0.89,21.8,21.8,17.4,11.7,29,17.4,12.3,11.6,0.74,1.006460617,1.001002607
B5,0.0634,0.0856,0.182,65.6303,4.0186,30.3511,5.4,1.023,10226,39.56,0.819,2.43,5.87,169.7,0.740740741,40,27,10,10,2,5,40,1,2,34.3,8.25,4.25,1.37,22.7,0.2,1.01,0.72,27.2,27.2,19.7,12.3,28.2,14.9,13.5,11,0.78,1.00005761,1.003114013
B6,0.0647,0.0886,0.182,68.3511,5.2748,26.3741,5.2,0.936,9360.8,31.98,1.05,4.08,7.98,151.2,1.086956522,50,23,5,5,3,10,32,0,0,33.5,8.07,4.22,1.41,21.8,0.23,1.05,0.71,29.2,29.2,25.3,13.4,26.3,11.2,10.5,13.2,0.85,1.003111559,1.001403931
B7,0.0482,0.0626,0.128,31.1216,22.9595,45.919,12.9,0.961,9612.9,12.78,1.216,1.41,3.49,306.2,0.172222222,31,90,40,40,5,5,13,1,5,53,11,5.97,1.59,8.76,0.36,1.09,1.15,17.1,17.1,11.4,12.7,38.8,21.5,10.8,4.8,0.74,0.996699616,1.00878175
B8,0.0813,0.103,0.179,34.94,25.4582,39.6017,11.6,0.785,7850.8,30.95,1.208,1.95,4.21,260.3,0.2,30,75,35,35,0,5,31,0,4,42,8.92,4.94,1.41,17.3,0.24,0.75,0.9,23.3,23.3,7.3,11.1,40.3,22.8,12.7,5.1,0.67,1.000538832,1.00382546
B9,0.164196,0.218239,0.358915,30.1172,35.6804,34.2025,5.3,0.404,4043.8,68.34,1.167,1.44,2.81,111,0.454545455,20,22,10,10,2,0,68,0,0,17.5,3.91,1.96,0.91,39.1,0.05,0.26,0.33,35.7,35.7,7.2,9.5,33.3,24.6,17.4,7.9,0.61,1.013266979,0.988411642
C1,0.343636,0.418611,0.557095,29.4865,44.8908,25.6226,2.4,0.121,1206.7,65.33,0.901,0.53,1.44,88.4,0.555555556,20,18,4,4,10,0,65,1,0,24.6,2.23,1.3,1.28,37.1,,0.19,0.18,32.5,32.5,11.6,8.6,29.5,21.4,21.6,7.3,0.66,1.013683693,0.965100181
C10,0.249485,0.292696,0.38086,48.1435,29.8693,21.9871,3.8,0.169,1693.4,63.99,0.867,2.04,3.99,120.7,0.2,10,25,0,0,20,5,67,1,0,19,3.56,1.92,1.72,36.2,0.13,0.42,0.27,36.3,36.3,24.1,11,29.7,16.4,11.3,7.4,0.85,1.00766789,0.984552962
C11,0.129184,0.161996,0.269848,51.4808,18.2735,30.2457,4.8,0.635,6351.8,26.28,0.894,2.94,5.92,205.4,0.85,51,30,10,10,0,10,26,0,3,39.8,9.1,4.78,1.75,17.3,0.34,1.32,0.8,23.8,23.8,24.4,13.9,32.2,12.5,8.9,8.1,0.89,1.003417451,1.000802005
C12,0.158269,0.221237,0.392044,57.8657,22.9545,19.1798,2,0.197,1967.3,40.27,0.553,0.41,1.02,80,0.86,43,25,10,10,0,5,40,1,0,51.7,3.14,1.45,0.51,22.6,0.1,0.5,0.26,19.6,19.6,6.1,4.1,12.1,19.9,47.7,10.1,0.4,1.009624862,0.994461605
C2,0.114,0.157,0.294,60.1397,14.1771,25.6832,2.7,0.303,3034.6,24.21,0.646,0.6,1.49,108.5,1.5,60,20,10,10,0,0,24,0,6,61.5,4.54,2.13,0.66,14.7,0.15,0.76,0.43,14.8,14.8,5.5,4,11.8,19,50.4,9.3,0.39,1.035267945,0.999111846
C3,0.0704,0.092,0.159,55.4719,9.1983,35.3298,4.3,0.397,3972.6,11.75,0.609,0.73,1.91,184.2,0.458333333,55,60,30,30,0,0,12,0,3,67.2,6.38,3.33,1.01,7.8,0.24,0.83,0.64,11.5,11.5,5.9,4.5,15.6,13.6,43.4,7,0.4,1.032407017,1.002821641
C4,0.237535,0.292936,0.41051,26.1399,31.2564,42.6037,3.1,0.271,2711.6,68.17,0.644,1.33,2.67,120,0.283333333,17,30,15,15,0,0,68,0,0,17.2,4.01,2.08,0.81,39.1,0.08,0.26,0.3,34.8,34.8,10.7,8.2,31.8,24,19.8,5.6,0.64,1.015161098,1.009703831
C5,0.198452,0.238287,0.318942,84.7901,7.6049,7.6049,6.4,0.163,1627.5,47.55,1.351,5.38,10.7,195.2,0.52,26,25,15,0,5,5,48,1,0,25.3,4.5,2.38,1.93,28.2,0.07,0.43,0.24,36,36,19.6,10.2,32.4,17.4,14.3,6.1,0.79,1.014285063,0.988915867
C6,0.235789,0.281686,0.368101,58.7772,1.2782,39.9446,6.1,0.187,1865.4,46.81,0.631,5.33,4.24,194.7,0.233333333,28,60,25,25,10,0,47,1,0,25.3,4.5,2.37,1.93,28.1,0.06,0.44,0.25,35.5,35.5,16.4,9.3,35.5,20.9,13.2,4.7,0.76,1.005024671,0.995902881
C8,0.271686,0.316983,0.395901,7.0425,36.6799,56.2775,4.6,0.129,1285.4,59.77,1.151,2.23,4.95,208.7,0.081395349,7,43,15,15,10,3,60,1,10,21,5.84,2.54,1.88,32.8,0.1,0.25,0.25,34.8,34.8,23.6,12.9,36.1,13.6,9.3,4.5,0.9,1.005130269,0.99111798
C9,0.236073,0.277409,0.384334,54.8161,0,45.1839,5.9,0.288,2880.2,51.4,0.552,1.17,3.31,233.6,0.193877551,19,49,20,20,5,4,50,1,0,27.9,6.51,3.25,1.79,28.9,0.17,0.51,0.47,30.3,30.3,22.6,13.6,36.5,15.8,8.1,3.6,0.9,1.003718832,0.996301872
